pair_id,excel_row,gene_field,chemical,n_genes,strain_background,ko_status,ko_growth,rescue_status,rescue_growth,classification,correct,missing_genes,mapped_background,missing_background,mapped_rescue,missing_rescue
excel:88,88,YLR231C,nicotinicacid,1,W303,optimal,2.6340034167697135e-17,optimal,0.0859904516681506,correct,True,,,,r_1967,
excel:89,89,YFR047C,nicotinicacid,1,W303,optimal,-5.268006833539426e-17,optimal,0.0859904516681497,correct,True,,,,r_1967,
excel:90,90,YBL033C,riboflavin,1,S288C,optimal,1.1637798866989554e-16,optimal,0.0859356993646284,correct,True,,,,r_2038,
excel:91,91,YOL066C,riboflavin,1,S288C,optimal,-1.1577766476872983e-16,optimal,0.0859356993646307,correct,True,,,,r_2038,
excel:92,92,YDR487C,riboflavin,1,S288C,optimal,-4.098323933628513e-17,optimal,0.0859356993646293,correct,True,,,,r_2038,
excel:93,93,YOL143C,riboflavin,1,S288C,optimal,-5.1838648452947115e-17,optimal,0.0859356993646303,correct,True,,,,r_2038,
excel:94,94,YBR256C,riboflavin,1,S288C,optimal,-2.1577022853041082e-16,optimal,0.0859356993646299,correct,True,,,,r_2038,
excel:95,95,YGR144W,thiamine(1+),1,S288C,optimal,0.0859075189938797,optimal,0.0859075489964078,type_I,False,,,,r_2067,
excel:96,96,YPL214C,thiamine(1+),1,Other,optimal,0.0,optimal,0.0859075489964069,correct,True,,,,r_2067,
excel:97,97,YGR096W,thiamine(1+),1,S288C,optimal,0.0859075189938797,optimal,0.0859075489964078,type_I,False,,,,r_2067,
excel:98,98,YKL184W,pantothenic acid,1,S288C,optimal,0.0859075189938797,optimal,0.08591081396679,type_I,False,,,,r_1548,
excel:99,99,YOL052C,pantothenic acid,1,S288C,optimal,-9.564170140760761e-13,optimal,0.0859108439716189,correct,True,,,,r_1548,
excel:100,100,YPR069C,pantothenic acid,1,S288C,optimal,0.0859075189938797,optimal,0.08591081396679,type_I,False,,,,r_1548,
excel:101,101,YGR267C,5-formyltetrahydrofolic acid,1,W303,optimal,2.4546696976222727e-17,optimal,0.0859096519103935,correct,True,,,,r_1625,
excel:102,102,YMR113W,5-formyltetrahydrofolic acid,1,W303,optimal,-1.9629221098582961e-16,optimal,0.085909651910393,correct,True,,,,r_1625,
excel:103,103,YAR015W,adenine,1,W303,optimal,1.1759978681745024e-14,optimal,0.086673468502529,correct,True,,,,r_1639,
excel:104,104,YNL220W,adenine,1,Other,optimal,8.121510535039948e-16,optimal,0.086673468502529,correct,True,,,,r_1639,
