pair_id,excel_row,gene_field,chemical,n_genes,strain_background,ko_status,ko_growth,rescue_status,rescue_growth,classification,correct,missing_genes,mapped_background,missing_background,mapped_rescue,missing_rescue
excel:64,64,YMR108W,"valine,isoleucine",1,Other,optimal,-4.953752829945607e-18,optimal,0.1738893761175516,correct,True,,,,r_1914+r_1897,
excel:65,65,YJR016C,"valine,isoleucine",1,Other,optimal,0.0,optimal,0.17388937611755056,correct,True,,,,r_1914+r_1897,
excel:66,66,YLR355C,"valine,isoleucine",1,Other,optimal,-2.292555465261866e-33,optimal,0.17388937611755204,correct,True,,,,r_1914+r_1897,
excel:67,67,YGR204W,"histidine, adenine",1,Other,optimal,0.0,optimal,0.08731718401671897,correct,True,,,,r_1893+r_1639,
excel:68,68,YDR158W,"methionine, threonine",1,Other,optimal,1.2447363767080722e-18,optimal,9.95269393537688,correct,True,,,,r_1902+r_1911,
excel:69,69,YER052C,"methionine, threonine",1,Other,optimal,1.6096977249007988e-18,optimal,9.952693935376837,correct,True,,,,r_1902+r_1911,
excel:70,70,YJR139C,"methionine, threonine",1,Other,optimal,0.0,optimal,9.952693935376878,correct,True,,,,r_1902+r_1911,
excel:71,71,YOR236W,"adenine, histidine, methionine add folinic acid",1,Other,optimal,-6.497035952055699e-30,optimal,0.0,type_II,False,,r_1625,,r_1639+r_1893+r_1902,
excel:72,72,YPR074C and YBR117C,aromatic amino acid add folinic acid,2,W303,optimal,6.940313361459958e-19,optimal,7.827482956126616,correct,True,,r_1625,,r_1913+r_1903+r_1912,
excel:73,73,YDL131W and YDL182W,lysine,2,Other,optimal,2.2283062890891144e-31,optimal,0.08920076812474186,correct,True,,,,r_1900,
excel:74,74,YNL104C and YOR108W,leucine,2,S288C,optimal,5.4598211315077164e-18,optimal,0.16152100724634672,correct,True,,,,r_1899,
excel:75,75,YDR196C,pantothenate,1,W303,optimal,2.5164755142218448e-31,optimal,7.32829890436414e-19,type_II,False,,,,r_1548,
excel:76,76,YBR176W,pantothenate,1,S288C,optimal,6.039234185180699e-31,optimal,0.0858386570051341,correct,True,,,,r_1548,
excel:77,77,YIL145C,pantothenate,1,Other,optimal,8.918535053217786e-33,optimal,0.08583865748328233,correct,True,,,,r_1548,
excel:78,78,YMR170C,pantothenic acid,1,S288C,optimal,8.04773202193767e-14,optimal,0.0858386570051336,correct,True,,,,r_1548,
excel:79,79,YBR176W,pantothenic acid,1,S288C,optimal,6.039234185180699e-31,optimal,0.0858386570051341,correct,True,,,,r_1548,
excel:80,80,YMR020W,pantothenic acid,1,S288C,optimal,0.0,optimal,0.08583865700513388,correct,True,,,,r_1548,
excel:81,81,YLR146C,pantothenic acid,1,S288C,optimal,-1.9675482699855704e-13,optimal,0.08583865700513413,correct,True,,,,r_1548,
excel:82,82,YNL256W,5-formyltetrahydrofolic acid,1,Other,optimal,0.0,optimal,0.08583746694632256,correct,True,,,,r_1625,
excel:83,83,YJL153C,myo-inositol,1,Other,optimal,2.098589847074101e-30,optimal,0.08590252608083732,correct,True,,,,r_1947,
excel:84,84,YKL212W,myo-inositol,1,Other,optimal,0.08583536756472468,optimal,0.08590252608083726,type_I,False,,,,r_1947,
excel:85,85,YJR025C,nicotinicacid,1,W303,optimal,7.879125989253592e-31,optimal,0.08591813091455379,correct,True,,,,r_1967,
excel:86,86,YJR078W,nicotinicacid,1,W303,optimal,7.872966824848135e-15,optimal,0.08591813139358864,correct,True,,,,r_1967,
excel:87,87,YBL098W,nicotinicacid,1,W303,optimal,-1.576267398252304e-13,optimal,0.0859181313935896,correct,True,,,,r_1967,
excel:88,88,YLR231C,nicotinicacid,1,W303,optimal,-1.0308050518704686e-14,optimal,0.08591816839020207,correct,True,,,,r_1967,
excel:89,89,YFR047C,nicotinicacid,1,W303,optimal,8.699457302843252e-16,optimal,0.08591811571765849,correct,True,,,,r_1967,
excel:90,90,YBL033C,riboflavin,1,S288C,optimal,3.613916235208158e-30,optimal,0.08586347063995285,correct,True,,,,r_2038,
excel:91,91,YOL066C,riboflavin,1,S288C,optimal,5.279303526490182e-30,optimal,0.08586347191575415,correct,True,,,,r_2038,
excel:92,92,YDR487C,riboflavin,1,S288C,optimal,0.0,optimal,0.0858634706399531,correct,True,,,,r_2038,
excel:93,93,YOL143C,riboflavin,1,S288C,optimal,2.153789301508907e-31,optimal,0.08586347063995266,correct,True,,,,r_2038,
excel:94,94,YBR256C,riboflavin,1,S288C,optimal,0.0,optimal,0.08586347063995285,correct,True,,,,r_2038,
excel:95,95,YGR144W,thiamine(1+),1,S288C,optimal,0.08583536820220738,optimal,0.08583536820220852,type_I,False,,,,r_2067,
excel:96,96,YPL214C,thiamine(1+),1,Other,optimal,0.0858354206139718,optimal,0.08583542061397187,type_I,False,,,,r_2067,
