pair_id,excel_row_original,gene_field_original,chemical_original,n_genes_original,strain_background_original,ko_status_original,ko_growth_original,rescue_status_original,rescue_growth_original,classification_original,correct_original,missing_genes_original,mapped_background_original,missing_background_original,mapped_rescue_original,missing_rescue_original,excel_row_curated,gene_field_curated,chemical_curated,n_genes_curated,strain_background_curated,ko_status_curated,ko_growth_curated,rescue_status_curated,rescue_growth_curated,classification_curated,correct_curated,missing_genes_curated,mapped_background_curated,missing_background_curated,mapped_rescue_curated,missing_rescue_curated,change
excel:46,46,YDR007W,tryptophan,1,X2180-1A,optimal,4.3900056946161894e-18,optimal,0.1529396370901732,correct,True,,,,r_1912,,46,YDR007W,tryptophan,1,X2180-1A,optimal,-5.11908760043798e-18,optimal,0.1529205415451117,correct,True,,,,r_1912,,unchanged
excel:47,47,YER090W,tryptophan,1,X2180-1A,optimal,-1.7560022778464758e-17,optimal,0.1529396370901719,correct,True,,,,r_1912,,47,YER090W,tryptophan,1,X2180-1A,optimal,4.013812094240034e-32,optimal,0.1529205415451124,correct,True,,,,r_1912,,unchanged
excel:48,48,YKL211C,tryptophan,1,X2180-1A,optimal,-1.0975014236540472e-16,optimal,0.1529396370901722,correct,True,,,,r_1912,,48,YKL211C,tryptophan,1,X2180-1A,optimal,0.0,optimal,0.15292054154511397,correct,True,,,,r_1912,,unchanged
excel:49,49,YDR354W,tryptophan,1,S288C,optimal,-5.268006833539427e-17,optimal,0.1529396370901716,correct,True,,,,r_1912,,49,YDR354W,tryptophan,1,S288C,optimal,7.400899348187221e-31,optimal,0.15292054154511195,correct,True,,,,r_1912,,unchanged
excel:50,50,YGL026C,tryptophan,1,X2180-1A,optimal,4.3900056946161894e-18,optimal,0.1529396370901719,correct,True,,,,r_1912,,50,YGL026C,tryptophan,1,X2180-1A,optimal,-1.6719473418456758e-18,optimal,0.1529205415451102,correct,True,,,,r_1912,,unchanged
excel:51,51,YDR173C,ornithine,1,Sigma1278b,optimal,0.0859075189938797,optimal,6.656116799883206,type_I,False,,,,r_1987,,51,YDR173C,ornithine,1,Sigma1278b,optimal,0.08583536756472465,optimal,6.6449367558909,type_I,False,,,,r_1987,,unchanged
excel:52,52,YPL268W,ornithine,1,Other,optimal,0.0859075189938797,optimal,6.656116799883206,type_I,False,,,,r_1987,,52,YPL268W,ornithine,1,Other,optimal,0.08583536820220763,optimal,6.644936755890862,type_I,False,,,,r_1987,,unchanged
excel:53,53,YOR184W,serine,1,Other,optimal,0.0857047797249279,optimal,8.484579037975273,type_I,False,,,,r_1906,,53,YOR184W,serine,1,Other,optimal,0.085630915078308,optimal,8.475724229156643,type_I,False,,,,r_1906,,unchanged
excel:54,54,YGR208W,serine,1,Other,optimal,0.0857047797249298,optimal,8.484579037975335,type_I,False,,,,r_1906,,54,YGR208W,serine,1,Other,optimal,0.08563091460247042,optimal,8.475724229156624,type_I,False,,,,r_1906,,unchanged
excel:55,55,YDR158W,homoserine,1,Other,optimal,-1.4193640884343032e-16,optimal,5.804597424326367,correct,True,,,,r_1896,,55,YDR158W,homoserine,1,Other,optimal,1.2447363767080722e-18,optimal,5.8009480827008435,correct,True,,,,r_1896,,unchanged
excel:56,56,YER052C,homoserine,1,Other,optimal,1.7340348834510056e-16,optimal,5.804597424326424,correct,True,,,,r_1896,,56,YER052C,homoserine,1,Other,optimal,1.6096977249007988e-18,optimal,5.800948082700892,correct,True,,,,r_1896,,unchanged
excel:57,57,YJR139C,homoserine,1,Other,optimal,1.387618832558423e-16,optimal,5.804597424326139,correct,True,,,,r_1896,,57,YJR139C,homoserine,1,Other,optimal,0.0,optimal,5.8009480827007485,correct,True,,,,r_1896,,unchanged
excel:58,58,YOR303W,arginine add uracil,1,Other,optimal,-1.712497359554147e-17,optimal,9.98678179207125,correct,True,,r_2090,,r_1879,,58,YOR303W,arginine add uracil,1,Other,optimal,0.0863800153702087,optimal,7.728573273093183,type_I,False,,r_2090,,r_1879,,regression
excel:59,59,YJR109C,arginine add uracil,1,Other,optimal,-1.712497359554147e-17,optimal,9.98678179207125,correct,True,,r_2090,,r_1879,,59,YJR109C,arginine add uracil,1,Other,optimal,0.0863800153702087,optimal,7.728573273093183,type_I,False,,r_2090,,r_1879,,regression
excel:60,60,YDR127W,aromatic amino acid add folinic acid,1,Other,optimal,2.6310210586136957e-17,optimal,7.855589025753938,correct,True,,r_1625,,r_1913+r_1903+r_1912,,60,YDR127W,aromatic amino acid add folinic acid,1,Other,optimal,-6.934882623346489e-32,optimal,7.841553491820012,correct,True,,r_1625,,r_1913+r_1903+r_1912,,unchanged
excel:61,61,YGL148W,aromatic amino acid add folinic acid,1,Other,optimal,-7.883359389489347e-16,optimal,7.855589025754105,correct,True,,r_1625,,r_1913+r_1903+r_1912,,61,YGL148W,aromatic amino acid add folinic acid,1,Other,optimal,3.0540610639002076e-32,optimal,7.84155349182001,correct,True,,r_1625,,r_1913+r_1903+r_1912,,unchanged
excel:62,62,YPR060C,"tyrosine, phenylalanine",1,Other,optimal,9.502280227534475e-17,optimal,7.808168156287589,correct,True,,,,r_1913+r_1903,,62,YPR060C,"tyrosine, phenylalanine",1,Other,optimal,-3.1231039022766906e-63,optimal,7.7943014145028595,correct,True,,,,r_1913+r_1903,,unchanged
excel:63,63,YHR208W,"valine,leucine",1,S288C,optimal,6.525529220948676e-17,optimal,0.1698834620613428,correct,True,,,,r_1914+r_1899,,63,YHR208W,"valine,leucine",1,S288C,optimal,-1.099124985419635e-18,optimal,0.1698598753964929,correct,True,,,,r_1914+r_1899,,unchanged
excel:64,64,YMR108W,"valine,isoleucine",1,Other,optimal,-4.34110861945589e-16,optimal,0.173914095206654,correct,True,,,,r_1914+r_1897,,64,YMR108W,"valine,isoleucine",1,Other,optimal,-4.953752829945607e-18,optimal,0.1738893761175516,correct,True,,,,r_1914+r_1897,,unchanged
excel:65,65,YJR016C,"valine,isoleucine",1,Other,optimal,-4.795870329708539e-16,optimal,0.1739140952066544,correct,True,,,,r_1914+r_1897,,65,YJR016C,"valine,isoleucine",1,Other,optimal,0.0,optimal,0.17388937611755056,correct,True,,,,r_1914+r_1897,,unchanged
excel:66,66,YLR355C,"valine,isoleucine",1,Other,optimal,7.385632405641091e-17,optimal,0.1739140952066532,correct,True,,,,r_1914+r_1897,,66,YLR355C,"valine,isoleucine",1,Other,optimal,-2.292555465261866e-33,optimal,0.17388937611755204,correct,True,,,,r_1914+r_1897,,unchanged
excel:67,67,YGR204W,"histidine, adenine",1,Other,optimal,-9.538889015183517e-14,optimal,1.3584644408778417e-07,type_II,False,,,,r_1893+r_1639,,67,YGR204W,"histidine, adenine",1,Other,optimal,0.0,optimal,0.08731718401671897,correct,True,,,,r_1893+r_1639,,fixed
excel:68,68,YDR158W,"methionine, threonine",1,Other,optimal,-1.4193640884343032e-16,optimal,4.065814017846596e-24,type_II,False,,,,r_1902+r_1911,,68,YDR158W,"methionine, threonine",1,Other,optimal,1.2447363767080722e-18,optimal,9.95269393537688,correct,True,,,,r_1902+r_1911,,fixed
excel:69,69,YER052C,"methionine, threonine",1,Other,optimal,1.7340348834510056e-16,optimal,1.706977498534215e-24,type_II,False,,,,r_1902+r_1911,,69,YER052C,"methionine, threonine",1,Other,optimal,1.6096977249007988e-18,optimal,9.952693935376837,correct,True,,,,r_1902+r_1911,,fixed
